"Permit Number","Permit Name","DBA","Class","Class Issue Status","Date Of Action","Street1","Street2","City","State","Zip","City/Twp of Premises","County","Agency Number","Quota Exempt Class","Site Location Vote"
"745764900004","JACK CLEVELAND CASINO LLC BAR 4 TAG LOUNGE & BAR LVL 112","DBA HORSESHOE CLEVELAND 1ST 2ND 3RD FLS & BSMT","D6","ISSUED","10/6/2014","100 PUBLIC SQ","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"4193351","JACKS LOUNGE INC","","D5","ISSUED","8/4/1999","1307 AUBURN AV & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"4193351","JACKS LOUNGE INC","","D6","ISSUED","10/11/2012","1307 AUBURN AV & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"2827101","JACQUELINE FORT","DBA JACQUELINE BEVERAGES","D1","ISSUED","2/4/2019","3145 E 79TH ST","","CLEVELAND","OH","44104","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"2827101","JACQUELINE FORT","DBA JACQUELINE BEVERAGES","D2","ISSUED","2/4/2019","3145 E 79TH ST","","CLEVELAND","OH","44104","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4220587","JAGRUPAT INC","DBA KEY BEVERAGE & LIQUOR","C2","ISSUED","10/9/2019","6542 BROADWAY AVE","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4220587","JAGRUPAT INC","DBA KEY BEVERAGE & LIQUOR","C2X","ISSUED","10/9/2019","6542 BROADWAY AVE","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4220587","JAGRUPAT INC","DBA KEY BEVERAGE & LIQUOR","D6","ISSUED","10/9/2019","6542 BROADWAY AVE","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","YES"
"4220587","JAGRUPAT INC","DBA KEY BEVERAGE & LIQUOR","D8","ISSUED","10/9/2019","6542 BROADWAY AVE","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4220470","JAI HARI LLC","DBA SIMPLY FOOD AT RESERVE SQUARE 1ST FL SUITE R115 & R120","C1","ISSUED","2/15/2011","1701 E 12TH ST","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4220470","JAI HARI LLC","DBA SIMPLY FOOD AT RESERVE SQUARE 1ST FL SUITE R115 & R120","C2","ISSUED","2/15/2011","1701 E 12TH ST","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4226365","JAI SIYA RAM INC","DBA EZ MART FOOD STORE","C1","ISSUED","3/2/2023","4163-65 ROCKY RIVER DR","","CLEVELAND","OH","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","YES"
"4226365","JAI SIYA RAM INC","DBA EZ MART FOOD STORE","C2","ISSUED","3/2/2023","4163-65 ROCKY RIVER DR","","CLEVELAND","OH","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","YES"
"4226365","JAI SIYA RAM INC","DBA EZ MART FOOD STORE","D6","ISSUED","3/2/2023","4163-65 ROCKY RIVER DR","","CLEVELAND","OH","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","YES"
"4219899","JAIGURUDEV KRUPA LLC","DBA STAR VALUE","C1","ISSUED","4/7/2017","3691 W 105TH ST","","CLEVELAND","OH","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4219899","JAIGURUDEV KRUPA LLC","DBA STAR VALUE","C2","ISSUED","5/1/2018","3691 W 105TH ST","","CLEVELAND","OH","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4219682","JAIHOMART LLC","DBA CLEVELAND SMOKES & BEVERAGES","C1","ISSUED","8/23/2022","15649 PURITAS AV UNIT A","","CLEVELAND","OH","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4219682","JAIHOMART LLC","DBA CLEVELAND SMOKES & BEVERAGES","C2","ISSUED","8/23/2022","15649 PURITAS AV UNIT A","","CLEVELAND","OH","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4220854","JALAPENOS GRILL AND MOORE LLC","DBA JALAPENO GRILL","D3","ISSUED","10/12/2021","6241 BROADWAY AVE","","CLEVELAND","OH","44127","CLEVELAND","CUYAHOGA","00953","NOT A QUOTA EXEMPT CLASS","NO"
"4234733","JAMINA INC","DBA CARUSOS BAR","D5","ISSUED","11/15/1989","5006 CLARK AV","","CLEVELAND","OHIO","44102","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"4238078","JANKA LLC","DBA MY FRIENDS RESTAURANT","D1","ISSUED","8/13/2018","11616 DETROIT AVE 1ST FL","","CLEVELAND","OHIO","44102","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4238078","JANKA LLC","DBA MY FRIENDS RESTAURANT","D2","ISSUED","8/13/2018","11616 DETROIT AVE 1ST FL","","CLEVELAND","OHIO","44102","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4238078","JANKA LLC","DBA MY FRIENDS RESTAURANT","D6","ISSUED","8/13/2018","11616 DETROIT AVE 1ST FL","","CLEVELAND","OHIO","44102","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4248535","JASPREET INC","DBA CONVENIENT FOOD MART","C1","ISSUED","10/31/2017","12520 LORAIN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4248535","JASPREET INC","DBA CONVENIENT FOOD MART","C2","ISSUED","10/31/2017","12520 LORAIN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4254640","JAWBONE PARTNERS LLC","","D5J","ISSUED","8/31/2017","1059 & 1075 & 1085 OLD RIVER RD","1ST FL & PATIOS","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"4254640","JAWBONE PARTNERS LLC","","D6","ISSUED","8/31/2017","1059 & 1075 & 1085 OLD RIVER RD","1ST FL & PATIOS","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"425464000004","JAWBONE PARTNERS LLC","DBA BAR 4 1085 PATIO","D5J","ISSUED","8/17/2022","1059 & 1075 & 1085 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"425464000004","JAWBONE PARTNERS LLC","DBA BAR 4 1085 PATIO","D6","ISSUED","8/17/2022","1059 & 1075 & 1085 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"425464000003","JAWBONE PARTNERS LLC","","D5J","ISSUED","2/27/2018","1059-1075 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"425464000003","JAWBONE PARTNERS LLC","","D6","ISSUED","2/27/2018","1059-1075 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"425464000005","JAWBONE PARTNERS LLC","DBA BAR 5 1085 HEMINGWAY BAR","D5J","ISSUED","8/17/2022","1059 & 1075 & 1085 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"425464000005","JAWBONE PARTNERS LLC","DBA BAR 5 1085 HEMINGWAY BAR","D6","ISSUED","8/17/2022","1059 & 1075 & 1085 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"425464000006","JAWBONE PARTNERS LLC","DBA BAR 6 1085 MAIN","D5J","ISSUED","8/17/2022","1059 & 1075 & 1085 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"425464000006","JAWBONE PARTNERS LLC","DBA BAR 6 1085 MAIN","D6","ISSUED","8/17/2022","1059 & 1075 & 1085 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"4248575","JAY SADHI MATAJI INC","DBA JJS GRAB & GO","C2","ISSUED","6/20/2017","4282 W 130TH ST","","CLEVELAND","OH","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4248575","JAY SADHI MATAJI INC","DBA JJS GRAB & GO","C2X","ISSUED","6/20/2017","4282 W 130TH ST","","CLEVELAND","OH","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4248575","JAY SADHI MATAJI INC","DBA JJS GRAB & GO","D6","ISSUED","6/20/2017","4282 W 130TH ST","","CLEVELAND","OH","44135","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","YES"
"4257920","JAYBIRDS ENERGY INC","DBA HANINI EXPRESS SUNOCO","C1","ISSUED","12/31/2018","12800 EUCLID AVE","","EAST CLEVELAND","OH","44112","EAST CLEVELAND","CUYAHOGA","","TRANSFER EXEMPT","NO"
"4257920","JAYBIRDS ENERGY INC","DBA HANINI EXPRESS SUNOCO","C2","ISSUED","12/31/2018","12800 EUCLID AVE","","EAST CLEVELAND","OH","44112","EAST CLEVELAND","CUYAHOGA","","TRANSFER EXEMPT","NO"
"4183783","JB BALLROOM LLC","","D5","ISSUED","12/7/2007","10510 PARK LANE","","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"4183783","JB BALLROOM LLC","","D6","ISSUED","12/11/2008","10510 PARK LANE","","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","YES"
"4174602","JBJJ LLC","DBA THE NAUTI MERMAID 1ST FL & BSMT & PATIO","D5","ISSUED","4/19/2011","1378 W 6TH ST","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"4174602","JBJJ LLC","DBA THE NAUTI MERMAID 1ST FL & BSMT & PATIO","D6","ISSUED","4/19/2011","1378 W 6TH ST","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"4173950","JCK VENTURES LLC","DBA TWIST & PATIOS","D5","ISSUED","4/28/2015","11631-37 CLIFTON BLVD","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"4173950","JCK VENTURES LLC","DBA TWIST & PATIOS","D6","ISSUED","4/28/2015","11631-37 CLIFTON BLVD","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"417395000003","JCK VENTURES LLC","DBA BAR 3 SE CRNR PATIO WINDOW","D5","ISSUED","10/1/2021","11631-37 CLIFTON BLVD & PATIOS","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"417395000003","JCK VENTURES LLC","DBA BAR 3 SE CRNR PATIO WINDOW","D6","ISSUED","10/1/2021","11631-37 CLIFTON BLVD & PATIOS","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"4173889","JDH TAVERN LLC","","D1","ISSUED","10/4/2019","4450-52 BROADVIEW RD","","CLEVELAND","OH","44109","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"4173889","JDH TAVERN LLC","","D2","ISSUED","10/4/2019","4450-52 BROADVIEW RD","","CLEVELAND","OH","44109","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"4173889","JDH TAVERN LLC","","D3","ISSUED","10/4/2019","4450-52 BROADVIEW RD","","CLEVELAND","OH","44109","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"4173889","JDH TAVERN LLC","","D3A","ISSUED","10/4/2019","4450-52 BROADVIEW RD","","CLEVELAND","OH","44109","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"4173889","JDH TAVERN LLC","","D6","ISSUED","10/4/2019","4450-52 BROADVIEW RD","","CLEVELAND","OH","44109","CLEVELAND","CUYAHOGA","00401","NOT A QUOTA EXEMPT CLASS","NO"
"4273200","JEEYAMANYA INC","DBA MEGA MART","C1","ISSUED","4/7/2022","3519 W 117TH ST","","CLEVELAND","OH","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4273200","JEEYAMANYA INC","DBA MEGA MART","C2","ISSUED","4/7/2022","3519 W 117TH ST","","CLEVELAND","OH","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4273200","JEEYAMANYA INC","DBA MEGA MART","D6","ISSUED","4/7/2022","3519 W 117TH ST","","CLEVELAND","OH","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4273213","JEFFANOS ENTERPRISES LTD","","D2","ISSUED","1/26/2010","10423-27 CLIFTON BLVD","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"4273213","JEFFANOS ENTERPRISES LTD","","D2X","ISSUED","1/26/2010","10423-27 CLIFTON BLVD","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"4273213","JEFFANOS ENTERPRISES LTD","","D3","ISSUED","1/26/2010","10423-27 CLIFTON BLVD","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"4273213","JEFFANOS ENTERPRISES LTD","","D3A","ISSUED","1/26/2010","10423-27 CLIFTON BLVD","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00989","NOT A QUOTA EXEMPT CLASS","NO"
"42752220005","JENNIE C DORAN LLC","DBA THE JUDITH","D1","ISSUED","8/24/2023","5222 LORAIN AVE 1ST FL & BSMT","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","YES"
"42752220005","JENNIE C DORAN LLC","DBA THE JUDITH","D2","ISSUED","8/24/2023","5222 LORAIN AVE 1ST FL & BSMT","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","YES"
"42752220005","JENNIE C DORAN LLC","DBA THE JUDITH","D3","ISSUED","8/24/2023","5222 LORAIN AVE 1ST FL & BSMT","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","YES"
"42752220005","JENNIE C DORAN LLC","DBA THE JUDITH","D3A","ISSUED","8/24/2023","5222 LORAIN AVE 1ST FL & BSMT","","CLEVELAND","OH","44102","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"6271153","JERMANS TAVERN INC","","D2","ISSUED","6/5/2003","3840 ST CLAIR AV 1ST FL & BASEMENT","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"6271153","JERMANS TAVERN INC","","D2X","ISSUED","6/5/2003","3840 ST CLAIR AV 1ST FL & BASEMENT","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"6271153","JERMANS TAVERN INC","","D3","ISSUED","6/5/2003","3840 ST CLAIR AV 1ST FL & BASEMENT","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"6271153","JERMANS TAVERN INC","","D6","ISSUED","2/6/2019","3840 ST CLAIR AV 1ST FL & BASEMENT","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"76440620001","JERRY SAA","DBA P N G SUPERMARKET","C2","ISSUED","4/18/2016","4324 WARNER RD 1ST FL","","CLEVELAND","OH","44105","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","YES"
"76440620001","JERRY SAA","DBA P N G SUPERMARKET","C2X","ISSUED","4/18/2016","4324 WARNER RD 1ST FL","","CLEVELAND","OH","44105","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","YES"
"4283052","JESSE FOODS INC","DBA EXPRESS FOOD MART","C1","ISSUED","4/19/2000","10134 MADISON AVE","","CLEVELAND","OHIO","44102","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4283052","JESSE FOODS INC","DBA EXPRESS FOOD MART","C2","ISSUED","4/19/2000","10134 MADISON AVE","","CLEVELAND","OHIO","44102","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4290858","JIRYES UNLIMITED INC","DBA NEIGHBORHOOD MARKET","C1","ISSUED","8/7/2001","9911-13 MILES AV","","CLEVELAND","OHIO","44108","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4290876","JJ GAS & GO LLC","","C1","ISSUED","8/1/2016","3870 W 25TH ST FRONT","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4290876","JJ GAS & GO LLC","","C2","ISSUED","8/1/2016","3870 W 25TH ST FRONT","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","","TRANSFER EXEMPT","NO"
"4179380","JL2 MANAGEMENT LLC","DBA LAS DOS FRONTERAS UNIT B","D5","ISSUED","3/13/2023","3292 FULTON RD 1ST FL","","CLEVELAND","OH","44109","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"4403788","JNR INC","DBA CHILLIS II","C1","ISSUED","3/23/1999","10914 UNION AV","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4403788","JNR INC","DBA CHILLIS II","C2","ISSUED","3/23/1999","10914 UNION AV","","CLEVELAND","OHIO","44105","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4343351","JOHN THE BELOVED GAS INC","DBA OHIO GAS","C1","ISSUED","8/27/2015","1980 NOBLE RD","","EAST CLEVELAND","OH","44112","EAST CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4343351","JOHN THE BELOVED GAS INC","DBA OHIO GAS","C2","ISSUED","8/27/2015","1980 NOBLE RD","","EAST CLEVELAND","OH","44112","EAST CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"3821918","JOHN W HICKEY","DBA COLLISION BEND CAFE","D2","ISSUED","5/18/1999","1646 COLUMBUS RD & PATIOS","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"3821918","JOHN W HICKEY","DBA COLLISION BEND CAFE","D2X","ISSUED","5/18/1999","1646 COLUMBUS RD & PATIOS","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"3821918","JOHN W HICKEY","DBA COLLISION BEND CAFE","D3","ISSUED","5/18/1999","1646 COLUMBUS RD & PATIOS","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"3821918","JOHN W HICKEY","DBA COLLISION BEND CAFE","D3A","ISSUED","5/18/1999","1646 COLUMBUS RD & PATIOS","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"3821918","JOHN W HICKEY","DBA COLLISION BEND CAFE","D6","ISSUED","1/12/2001","1646 COLUMBUS RD & PATIOS","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"4305191","JOHNNY MANGO INC","DBA JOHNNY MANGO 1ST FL & BSMT & PATIO","D1","ISSUED","9/16/1997","3120 BRIDGE AV","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"4305191","JOHNNY MANGO INC","DBA JOHNNY MANGO 1ST FL & BSMT & PATIO","D2","ISSUED","9/16/1997","3120 BRIDGE AV","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"4305191","JOHNNY MANGO INC","DBA JOHNNY MANGO 1ST FL & BSMT & PATIO","D3","ISSUED","9/16/1997","3120 BRIDGE AV","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"4305191","JOHNNY MANGO INC","DBA JOHNNY MANGO 1ST FL & BSMT & PATIO","D6","ISSUED","9/16/1997","3120 BRIDGE AV","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"43014110005","JOHNNYS BURGESS GRAND CORP INC","DBA LITTLE BAR & GRILLE","D5","ISSUED","5/2/2001","614 FRANKFORT AV 1ST & 2ND FLS","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"43014110005","JOHNNYS BURGESS GRAND CORP INC","DBA LITTLE BAR & GRILLE","D6","ISSUED","5/2/2001","614 FRANKFORT AV 1ST & 2ND FLS","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"4301411","JOHNNYS BURGESS GRAND CORP INC","DBA JOHNNYS DOWNTOWN","D2","ISSUED","12/7/1993","1406 W 6TH ST 1ST FL & BSMT & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"4301411","JOHNNYS BURGESS GRAND CORP INC","DBA JOHNNYS DOWNTOWN","D2X","ISSUED","12/7/1993","1406 W 6TH ST 1ST FL & BSMT & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"4301411","JOHNNYS BURGESS GRAND CORP INC","DBA JOHNNYS DOWNTOWN","D3","ISSUED","12/7/1993","1406 W 6TH ST 1ST FL & BSMT & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"4301411","JOHNNYS BURGESS GRAND CORP INC","DBA JOHNNYS DOWNTOWN","D3A","ISSUED","12/7/1993","1406 W 6TH ST 1ST FL & BSMT & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"4301411","JOHNNYS BURGESS GRAND CORP INC","DBA JOHNNYS DOWNTOWN","D6","ISSUED","12/7/1993","1406 W 6TH ST 1ST FL & BSMT & PATIO","","CLEVELAND","OHIO","44113","CLEVELAND","CUYAHOGA","00917","NOT A QUOTA EXEMPT CLASS","NO"
"4300646","JOHNNYS TAVERN & RESTAURANT INC","DBA JOHNNYS BAR","D1","ISSUED","7/7/1993","3164-66 FULTON RD 1ST FL & BSMT & PATIO","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"4300646","JOHNNYS TAVERN & RESTAURANT INC","DBA JOHNNYS BAR","D2","ISSUED","7/7/1993","3164-66 FULTON RD 1ST FL & BSMT & PATIO","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"4300646","JOHNNYS TAVERN & RESTAURANT INC","DBA JOHNNYS BAR","D3","ISSUED","7/7/1993","3164-66 FULTON RD 1ST FL & BSMT & PATIO","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"4300646","JOHNNYS TAVERN & RESTAURANT INC","DBA JOHNNYS BAR","D3A","ISSUED","7/7/1993","3164-66 FULTON RD 1ST FL & BSMT & PATIO","","CLEVELAND","OHIO","44109","CLEVELAND","CUYAHOGA","00994","NOT A QUOTA EXEMPT CLASS","NO"
"1817968","JOSEPH CRIMALDI","DBA B & A VARIETY STORE","C2","ISSUED","1/14/1987","3211 PROSPECT AV","","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"1817968","JOSEPH CRIMALDI","DBA B & A VARIETY STORE","C2X","ISSUED","1/14/1987","3211 PROSPECT AV","","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"1366552","JOSEPHINE MARTHA CERER","","C2","ISSUED","8/17/2016","2701 LORAIN AV","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"1366552","JOSEPHINE MARTHA CERER","","C2X","ISSUED","8/17/2016","2701 LORAIN AV","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"43995490005","JOUNIEH LLC","","C1","ISSUED","5/22/2020","4915 MEMPHIS AVE","","CLEVELAND","OH","44144","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4182969","JS MINIMART LLC","DBA JS MINIMART","C1","ISSUED","8/26/2022","14910 LORAIN AVE","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"4820000","JSDD SUNSET LLC","","D5","ISSUED","9/25/2018","17426 HARVARD AV","","CLEVELAND","OH","44128","CLEVELAND","CUYAHOGA","00978","NOT A QUOTA EXEMPT CLASS","NO"
"4820000","JSDD SUNSET LLC","","D6","ISSUED","9/25/2018","17426 HARVARD AV","","CLEVELAND","OH","44128","CLEVELAND","CUYAHOGA","00978","NOT A QUOTA EXEMPT CLASS","NO"
"4405418","JUDSON","DBA JUDSON MANOR","D1","ISSUED","11/8/2005","1890 E 107TH ST","","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"4405418","JUDSON","DBA JUDSON MANOR","D2","ISSUED","11/8/2005","1890 E 107TH ST","","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"4405418","JUDSON","DBA JUDSON MANOR","D6","ISSUED","6/8/2006","1890 E 107TH ST","","CLEVELAND","OHIO","44106","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","YES"
